column,unit,format,description
rest_120_flux,,,Spectrum flux in galex1500.res
rest_120_err,,,Spectrum err in galex1500.res
rest_120_full_err,,,Spectrum err in galex1500.res
rest_121_valid,,,
rest_121_frac,,,Fraction of galex2500.res covered by spectrum
rest_121_flux,,,Spectrum flux in galex2500.res
rest_121_err,,,Spectrum err in galex2500.res
rest_121_full_err,,,Spectrum err in galex2500.res
rest_218_valid,,,
rest_218_frac,,,Fraction of UV1600.dat covered by spectrum
rest_218_flux,,,Spectrum flux in UV1600.dat
rest_218_err,,,Spectrum err in UV1600.dat
rest_218_full_err,,,Spectrum err in UV1600.dat
rest_219_valid,,,
rest_219_frac,,,Fraction of UV2800.dat covered by spectrum
rest_219_flux,,,Spectrum flux in UV2800.dat
rest_219_err,,,Spectrum err in UV2800.dat
rest_219_full_err,,,Spectrum err in UV2800.dat
rest_270_valid,,,
rest_270_frac,,,Fraction of Tophat_1400_200.dat covered by spectrum
rest_270_flux,,,Spectrum flux in Tophat_1400_200.dat
rest_270_err,,,Spectrum err in Tophat_1400_200.dat
rest_270_full_err,,,Spectrum err in Tophat_1400_200.dat
rest_271_valid,,,
rest_271_frac,,,Fraction of Tophat_1700_200.dat covered by spectrum
rest_271_flux,,,Spectrum flux in Tophat_1700_200.dat
rest_271_err,,,Spectrum err in Tophat_1700_200.dat
rest_271_full_err,,,Spectrum err in Tophat_1700_200.dat
rest_272_valid,,,
rest_272_frac,,,Fraction of Tophat_2200_200.dat covered by spectrum
rest_272_flux,,,Spectrum flux in Tophat_2200_200.dat
rest_272_err,,,Spectrum err in Tophat_2200_200.dat
rest_272_full_err,,,Spectrum err in Tophat_2200_200.dat
rest_274_valid,,,
rest_274_frac,,,Fraction of Tophat_2800_200.dat covered by spectrum
rest_274_flux,,,Spectrum flux in Tophat_2800_200.dat
rest_274_err,,,Spectrum err in Tophat_2800_200.dat
rest_274_full_err,,,Spectrum err in Tophat_2800_200.dat
rest_153_valid,,,
rest_153_frac,,,Fraction of maiz-apellaniz_Johnson_U.res covered by spectrum
rest_153_flux,,,Spectrum flux in maiz-apellaniz_Johnson_U.res
rest_153_err,,,Spectrum err in maiz-apellaniz_Johnson_U.res
rest_153_full_err,,,Spectrum err in maiz-apellaniz_Johnson_U.res
rest_154_valid,,,
rest_154_frac,,,Fraction of maiz-apellaniz_Johnson_B.res covered by spectrum
rest_154_flux,,,Spectrum flux in maiz-apellaniz_Johnson_B.res
rest_154_err,,,Spectrum err in maiz-apellaniz_Johnson_B.res
rest_154_full_err,,,Spectrum err in maiz-apellaniz_Johnson_B.res
rest_155_valid,,,
rest_155_frac,,,Fraction of maiz-apellaniz_Johnson_V.res covered by spectrum
rest_155_flux,,,Spectrum flux in maiz-apellaniz_Johnson_V.res
rest_155_err,,,Spectrum err in maiz-apellaniz_Johnson_V.res
rest_155_full_err,,,Spectrum err in maiz-apellaniz_Johnson_V.res
rest_156_valid,,,
