specz,flag,Id_COS20_Classic,ra_COS20_Classic,dec_COS20_Classic,Id_COS20_Farmer,ra_COS20_Farmer,dec_COS20_Farmer,Id_COSMOS25,ra_COSMOS25,dec_COSMOS25,Id_COSMOS15
0.7764,4,36644,150.01555886063863,1.4302464022591501,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.62479,4,36691,150.63300028922612,1.4315040381024184,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05382,4,37045,149.6054767950626,1.4312354862465142,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05259,4,37089,150.46224672851918,1.4316502994241562,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.54513,4,37185,149.86832169419804,1.430194744810972,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.02304,4,37231,149.37912684933815,1.43126440080993,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.02238,2,37348,149.35122257631573,1.4326764512451962,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.5706,4,37531,149.17561403704298,1.4304153053098527,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.58522,4,37533,150.3322721254572,1.4326512563017055,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67024,4,37898,150.2764400379939,1.4317337527262388,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.9827,14,38116,149.4324425508982,1.4320372230398704,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.82768,4,38279,151.0580595618239,1.4329422371195177,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68513,4,38500,150.38148845386507,1.43440205792744,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.64634,4,38594,150.50508757674152,1.4317730748658033,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.03285,4,38680,150.4508768599063,1.43441606319143,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.03285,4,38892,150.43720134284365,1.4327332346310775,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
